id	filename	md5	size	state
000783b0-0875-4d5d-a3b6-4176e48c4a62	000783b0-0875-4d5d-a3b6-4176e48c4a62/a4b7b2f6-d2f5-4213-a5a2-cabf2e2329da.FPKM.txt.gz	a9f080658d371285d4925edde4fcbc14	532612	validated
0018267a-b1df-4ce0-ae34-488b5b60847b	0018267a-b1df-4ce0-ae34-488b5b60847b/9b09de85-1cd6-472f-bac8-de05c101f4cb.FPKM.txt.gz	f5fb415b11b9bf85166667edeec3076f	528557	validated
011c83b1-4a76-40d3-90ba-c416848e69c5	011c83b1-4a76-40d3-90ba-c416848e69c5/7f7121ff-1399-40da-a792-b7c31bc76570.FPKM.txt.gz	e7ba7562c11c808e8c611a82aef38fef	538322	validated
016c86de-b01e-4415-8147-91cdf9a50311	016c86de-b01e-4415-8147-91cdf9a50311/00c6710d-4f4e-4483-a54a-12c5471c7de8.FPKM.txt.gz	42cf78fe95d691496c996919f356fa61	536623	validated
01cb81a8-757b-49dd-b948-b378f970d1d4	01cb81a8-757b-49dd-b948-b378f970d1d4/06227615-f651-462b-948f-c305ba369efa.FPKM.txt.gz	7313c8e460d522a24504371111aa4d5f	508401	validated
01eab194-b0e8-4833-8635-a8972b31b887	01eab194-b0e8-4833-8635-a8972b31b887/d14ed192-18a0-42de-b80e-264a2ff38604.FPKM.txt.gz	bd44baa6ec7341aca0263a155d621d2c	519691	validated
02e8ee2a-190a-42d0-993c-9cb062d2f1e9	02e8ee2a-190a-42d0-993c-9cb062d2f1e9/7824eae3-957c-4515-b128-45453a11624d.FPKM.txt.gz	9cafe12c89db198e5c41c6d777f23ea4	527323	validated
04db382a-126e-4d11-8d8d-3b3dc80c219c	04db382a-126e-4d11-8d8d-3b3dc80c219c/900e6a24-1504-4c2d-85dd-b1c6088339b2.FPKM.txt.gz	71673b525afacb463d40143034be5fb1	558084	validated
05df3eb4-9f75-4bdc-9e0e-88f2fc59e4c0	05df3eb4-9f75-4bdc-9e0e-88f2fc59e4c0/89605d6f-4907-413d-a170-c53590b18e7d.FPKM.txt.gz	f3f745a374b07791296923ff5159ea46	518306	validated
069e68ca-2302-496b-9fdf-e55d37b01297	069e68ca-2302-496b-9fdf-e55d37b01297/a0a23823-3e04-49af-9494-87bc5ddd5424.FPKM.txt.gz	70ea91768b07352abf25c2daeedc4c13	516248	validated
